,can_id,candidate,topic,value,state
435,22,Jerry Moran,16,-2.5,Kansas
436,22,Jerry Moran,17,5.0,Kansas
437,22,Jerry Moran,18,5.0,Kansas
438,22,Jerry Moran,19,5.0,Kansas
439,22,Jerry Moran,20,2.5,Kansas
440,23,Jerry Sturgill,1,0.0,Idaho
441,23,Jerry Sturgill,2,0.0,Idaho
442,23,Jerry Sturgill,3,0.0,Idaho
443,23,Jerry Sturgill,4,0.0,Idaho
444,23,Jerry Sturgill,5,0.0,Idaho
445,23,Jerry Sturgill,6,0.0,Idaho
446,23,Jerry Sturgill,7,0.0,Idaho
447,23,Jerry Sturgill,8,-5.0,Idaho
448,23,Jerry Sturgill,9,0.0,Idaho
449,23,Jerry Sturgill,10,2.5,Idaho
450,23,Jerry Sturgill,11,0.0,Idaho
451,23,Jerry Sturgill,12,0.0,Idaho
452,23,Jerry Sturgill,13,2.5,Idaho
453,23,Jerry Sturgill,14,0.0,Idaho
454,23,Jerry Sturgill,15,0.0,Idaho
455,23,Jerry Sturgill,16,-2.5,Idaho
456,23,Jerry Sturgill,17,0.0,Idaho
457,23,Jerry Sturgill,18,-2.5,Idaho
458,23,Jerry Sturgill,19,0.0,Idaho
459,23,Jerry Sturgill,20,2.5,Idaho
460,24,Jim Barksdale,1,-2.5,Georgia
461,24,Jim Barksdale,2,-5.0,Georgia
462,24,Jim Barksdale,3,0.0,Georgia
463,24,Jim Barksdale,4,-2.5,Georgia
464,24,Jim Barksdale,5,-5.0,Georgia
465,24,Jim Barksdale,6,-5.0,Georgia
466,24,Jim Barksdale,7,-5.0,Georgia
467,24,Jim Barksdale,8,0.0,Georgia
468,24,Jim Barksdale,9,0.0,Georgia
469,24,Jim Barksdale,10,5.0,Georgia
470,24,Jim Barksdale,11,0.0,Georgia
471,24,Jim Barksdale,12,-5.0,Georgia
472,24,Jim Barksdale,13,-5.0,Georgia
473,24,Jim Barksdale,14,-5.0,Georgia
474,24,Jim Barksdale,15,5.0,Georgia
475,24,Jim Barksdale,16,-5.0,Georgia
476,24,Jim Barksdale,17,-5.0,Georgia
477,24,Jim Barksdale,18,-5.0,Georgia
478,24,Jim Barksdale,19,0.0,Georgia
479,24,Jim Barksdale,20,0.0,Georgia
480,25,Jim Gray,1,0.0,Kentucky
481,25,Jim Gray,2,-5.0,Kentucky
482,25,Jim Gray,3,-5.0,Kentucky
483,25,Jim Gray,4,0.0,Kentucky
484,25,Jim Gray,5,-2.5,Kentucky
485,25,Jim Gray,6,-5.0,Kentucky
486,25,Jim Gray,7,-2.5,Kentucky
487,25,Jim Gray,8,2.5,Kentucky
488,25,Jim Gray,9,0.0,Kentucky
489,25,Jim Gray,10,-2.5,Kentucky
490,25,Jim Gray,11,0.0,Kentucky
491,25,Jim Gray,12,0.0,Kentucky
492,25,Jim Gray,13,2.5,Kentucky
493,25,Jim Gray,14,-2.5,Kentucky
494,25,Jim Gray,15,2.5,Kentucky
495,25,Jim Gray,16,-5.0,Kentucky
496,25,Jim Gray,17,5.0,Kentucky
497,25,Jim Gray,18,5.0,Kentucky
498,25,Jim Gray,19,-5.0,Kentucky
499,25,Jim Gray,20,-2.5,Kentucky
500,26,Joe Heck,1,5.0,Nevada
501,26,Joe Heck,2,-2.5,Nevada
502,26,Joe Heck,3,2.5,Nevada
503,26,Joe Heck,4,0.0,Nevada
504,26,Joe Heck,5,5.0,Nevada
505,26,Joe Heck,6,5.0,Nevada
506,26,Joe Heck,7,5.0,Nevada
507,26,Joe Heck,8,2.5,Nevada
508,26,Joe Heck,9,2.5,Nevada
509,26,Joe Heck,10,5.0,Nevada
510,26,Joe Heck,11,5.0,Nevada
511,26,Joe Heck,12,2.5,Nevada
512,26,Joe Heck,13,-2.5,Nevada
513,26,Joe Heck,14,2.5,Nevada
514,26,Joe Heck,15,2.5,Nevada
515,26,Joe Heck,16,-5.0,Nevada
516,26,Joe Heck,17,2.5,Nevada
517,26,Joe Heck,18,5.0,Nevada
518,26,Joe Heck,19,-2.5,Nevada
519,26,Joe Heck,20,2.5,Nevada
520,27,Joe Miller,1,5.0,Alaska
521,27,Joe Miller,2,5.0,Alaska
522,27,Joe Miller,3,5.0,Alaska
523,27,Joe Miller,4,5.0,Alaska
524,27,Joe Miller,5,5.0,Alaska
525,27,Joe Miller,6,5.0,Alaska
526,27,Joe Miller,7,5.0,Alaska
527,27,Joe Miller,8,5.0,Alaska
528,27,Joe Miller,9,2.5,Alaska
529,27,Joe Miller,10,5.0,Alaska
530,27,Joe Miller,11,5.0,Alaska
531,27,Joe Miller,12,5.0,Alaska
532,27,Joe Miller,13,2.5,Alaska
533,27,Joe Miller,14,0.0,Alaska
534,27,Joe Miller,15,2.5,Alaska
535,27,Joe Miller,16,2.5,Alaska
536,27,Joe Miller,17,5.0,Alaska
537,27,Joe Miller,18,5.0,Alaska
538,27,Joe Miller,19,2.5,Alaska
539,27,Joe Miller,20,5.0,Alaska
540,28,John Boozman,1,5.0,Arkansas
541,28,John Boozman,2,2.5,Arkansas
542,28,John Boozman,3,5.0,Arkansas
543,28,John Boozman,4,5.0,Arkansas
544,28,John Boozman,5,5.0,Arkansas
545,28,John Boozman,6,5.0,Arkansas
546,28,John Boozman,7,5.0,Arkansas
547,28,John Boozman,8,2.5,Arkansas
548,28,John Boozman,9,5.0,Arkansas
549,28,John Boozman,10,5.0,Arkansas
550,28,John Boozman,11,5.0,Arkansas
551,28,John Boozman,12,5.0,Arkansas
552,28,John Boozman,13,5.0,Arkansas
553,28,John Boozman,14,5.0,Arkansas
554,28,John Boozman,15,2.5,Arkansas
555,28,John Boozman,16,-2.5,Arkansas
556,28,John Boozman,17,5.0,Arkansas
557,28,John Boozman,18,5.0,Arkansas
558,28,John Boozman,19,5.0,Arkansas
559,28,John Boozman,20,2.5,Arkansas
560,29,John Carroll,1,5.0,Hawaii
561,29,John Carroll,2,0.0,Hawaii
562,29,John Carroll,3,-2.5,Hawaii
563,29,John Carroll,4,0.0,Hawaii
564,29,John Carroll,5,2.5,Hawaii
565,29,John Carroll,6,5.0,Hawaii
566,29,John Carroll,7,-2.5,Hawaii
567,29,John Carroll,8,-5.0,Hawaii
568,29,John Carroll,9,-5.0,Hawaii
569,29,John Carroll,10,0.0,Hawaii
570,29,John Carroll,11,5.0,Hawaii
571,29,John Carroll,12,2.5,Hawaii
572,29,John Carroll,13,5.0,Hawaii
573,29,John Carroll,14,-2.5,Hawaii
574,29,John Carroll,15,5.0,Hawaii
575,29,John Carroll,16,5.0,Hawaii
576,29,John Carroll,17,2.5,Hawaii
577,29,John Carroll,18,5.0,Hawaii
578,29,John Carroll,19,0.0,Hawaii
579,29,John Carroll,20,-2.5,Hawaii
580,30,John Fleming,1,5.0,Louisiana
581,30,John Fleming,2,2.5,Louisiana
582,30,John Fleming,3,5.0,Louisiana
