idx,can_id,candidate,topic,value
791,40,Kelly Ayotte,12,5
792,40,Kelly Ayotte,13,0
793,40,Kelly Ayotte,14,5
794,40,Kelly Ayotte,15,5
795,40,Kelly Ayotte,16,-5
796,40,Kelly Ayotte,17,5
797,40,Kelly Ayotte,18,5
798,40,Kelly Ayotte,19,5
799,40,Kelly Ayotte,20,5
800,41,Lisa Murkowski,1,2.5
801,41,Lisa Murkowski,2,-2.5
802,41,Lisa Murkowski,3,5
803,41,Lisa Murkowski,4,5
804,41,Lisa Murkowski,5,-2.5
805,41,Lisa Murkowski,6,2.5
806,41,Lisa Murkowski,7,2.5
807,41,Lisa Murkowski,8,-2.5
808,41,Lisa Murkowski,9,2.5
809,41,Lisa Murkowski,10,5
810,41,Lisa Murkowski,11,5
811,41,Lisa Murkowski,12,2.5
812,41,Lisa Murkowski,13,5
813,41,Lisa Murkowski,14,5
