,full_name,first_name,last_name,party,state,url,year,next_senate_year,reelection_year
203,Mark_Begich,Mark,Begich,D,AK,http://www.ontheissues.org/Senate/Mark_Begich.htm,2012,2014,2018
204,John_McCain,John,McCain,R,AZ,http://www.ontheissues.org/Senate/John_McCain.htm,2012,2014,2018
205,Jeff_Flake,Jeff,Flake,R,AZ,http://www.ontheissues.org/Senate/Jeff_Flake.htm,2012,2014,2018
206,Mark_Pryor,Mark,Pryor,D,AR,http://www.ontheissues.org/Senate/Mark_Pryor.htm,2012,2014,2018
207,John_Boozman,John,Boozman,R,AR,http://www.ontheissues.org/Senate/John_Boozman.htm,2012,2014,2018
208,Dianne_Feinstein,Dianne,Feinstein,D,CA,http://www.ontheissues.org/Senate/Dianne_Feinstein.htm,2012,2014,2018
209,Barbara_Boxer,Barbara,Boxer,D,CA,http://www.ontheissues.org/Senate/Barbara_Boxer.htm,2012,2014,2018
210,Mark_Udall,Mark,Udall,D,CO,http://www.ontheissues.org/Senate/Mark_Udall.htm,2012,2014,2018
211,Michael_Bennet,Michael,Bennet,D,CO,http://www.ontheissues.org/Senate/Michael_Bennet.htm,2012,2014,2018
212,Richard_Blumenthal,Richard,Blumenthal,D,CT,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,2012,2014,2018
213,Chris_Murphy,Chris,Murphy,D,CT,http://www.ontheissues.org/Senate/Chris_Murphy.htm,2012,2014,2018
214,Tom_Carper,Tom,Carper,D,DE,http://www.ontheissues.org/Senate/Tom_Carper.htm,2012,2014,2018
215,Chris_Coons,Chris,Coons,D,DE,http://www.ontheissues.org/Senate/Chris_Coons.htm,2012,2014,2018
216,Bill_Nelson,Bill,Nelson,D,FL,http://www.ontheissues.org/Senate/Bill_Nelson.htm,2012,2014,2018
217,Marco_Rubio,Marco,Rubio,R,FL,http://www.ontheissues.org/Senate/Marco_Rubio.htm,2012,2014,2018
218,Saxby_Chambliss,Saxby,Chambliss,R,GA,http://www.ontheissues.org/Senate/Saxby_Chambliss.htm,2012,2014,2018
219,Johnny_Isakson,Johnny,Isakson,R,GA,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,2012,2014,2018
