,state_abbr,year,candidate,party,votes_total
504,FL,2016,Marco Rubio,GOP,4822182
505,FL,2016,Patrick Murphy,DEM,4105251
506,FL,2016,Paul Stanton,LIB,196188
507,FL,2016,Bruce Nathan,NPA,52274
508,FL,2016,Tony Khoury,NPA,45604
509,FL,2016,Steven Machat,NPA,26789
510,FL,2016,Basil Dalack,NPA,22134
511,GA,2016,Johnny Isakson,GOP,2110737
512,GA,2016,Jim Barksdale,DEM,1565006
513,GA,2016,Allen Buckley,LIB,159914
514,HI,2016,Brian Schatz,DEM,306543
515,HI,2016,John Carroll,GOP,92620
516,HI,2016,Joy Allison,CST,9096
517,HI,2016,Michael Kokoski,LIB,6806
518,ID,2016,Mike Crapo,GOP,447342
519,ID,2016,Jerry Sturgill,DEM,188104
520,ID,2016,Ray Writz,CST,41645
521,IL,2016,Tammy Duckworth,DEM,2908363
522,IL,2016,Mark Kirk,GOP,2150099
523,IL,2016,Kenton McMillen,LIB,172068
524,IL,2016,Scott Summers,GRN,113965
525,IN,2016,Todd Young,GOP,1423001
526,IN,2016,Evan Bayh,DEM,1157799
527,IN,2016,Lucy Brenton,LIB,149365
528,IA,2016,Charles Grassley,GOP,923280
529,IA,2016,Patty Judge,DEM,546974
530,IA,2016,Charles Aldrich,LIB,41609
531,IA,2016,Jim Hennager,OTH,17571
532,IA,2016,Michael Luick-Thrams,PEC,4416
533,KS,2016,Jerry Moran,GOP,716661
534,KS,2016,Patrick Wiesner,DEM,368672
535,KS,2016,Robert Garrard,LIB,63428
536,KY,2016,Rand Paul,GOP,1090151
537,KY,2016,Jim Gray,DEM,813222
538,LA,2016,John Kennedy,GOP,482380
539,LA,2016,Foster Campbell,DEM,337682
540,LA,2016,Charles Boustany,GOP,297744
541,LA,2016,Caroline Fayard,DEM,240748
542,LA,2016,John Fleming,GOP,203959
543,LA,2016,Rob Maness,GOP,90812
544,LA,2016,David Duke,GOP,58581
545,LA,2016,Derrick Edwards,DEM,51724
546,LA,2016,Gary Landrieu,DEM,45520
547,LA,2016,Donald Crawford,GOP,25503
548,LA,2016,Joseph Cao,GOP,21011
549,LA,2016,Beryl Billiot,NPA,19340
550,LA,2016,Thomas Clements,LIB,11363
551,LA,2016,Troy Hebert,NPA,9484
552,LA,2016,Joshua Pellerin,DEM,7386
553,LA,2016,Peter Williams,DEM,6844
554,LA,2016,Vinny Mendoza,DEM,4923
555,LA,2016,Kaitlin Marone,NPA,4102
556,LA,2016,Le Roy Gillam,LIB,4063
557,LA,2016,Charles Marsala,GOP,3683
558,LA,2016,Abhay Patel,GOP,1574
559,LA,2016,Arden Wells,NPA,1481
560,LA,2016,Bob Lang,OTH,1424
561,LA,2016,Gregory Taylor,OTH,1150
562,MD,2016,Chris Van Hollen,DEM,1488845
563,MD,2016,Kathy Szeliga,GOP,898902
564,MD,2016,Margaret Flowers,GRN,78752
565,MO,2016,Roy Blunt,GOP,1370240
566,MO,2016,Jason Kander,DEM,1283222
567,MO,2016,Jonathan Dine,LIB,67067
568,MO,2016,Johnathan McFarland,GRN,30413
569,MO,2016,Fred Ryman,CST,25194
570,NV,2016,Catherine Cortez Masto,DEM,520658
571,NV,2016,Joe Heck,GOP,494427
572,NV,2016,None of these candidates,NPD,42085
573,NV,2016,Tom Jones,IAP,17104
574,NV,2016,Tom Sawyer,NPD,14163
575,NV,2016,Tony Gumina,NPD,10719
576,NV,2016,Jarrod Williams,NPD,6864
577,NH,2016,Maggie Hassan,DEM,354268
578,NH,2016,Kelly Ayotte,GOP,353525
579,NH,2016,Aaron Day,IND,17702
580,NH,2016,Brian Chabot,LIB,12988
581,NY,2016,Charles Schumer,DEM,4788374
582,NY,2016,Wendy Long,GOP,1865072
583,NY,2016,Robin Wilson,GRN,102238
584,NY,2016,Alex Merced,LIB,43856
585,NC,2016,Richard Burr,GOP,2371192
586,NC,2016,Deborah Ross,DEM,2102666
587,NC,2016,Sean Haugh,LIB,165319
588,ND,2016,John Hoeven,GOP,267964
589,ND,2016,Eliot Glassheim,DEM,57976
590,ND,2016,Robert Marquette,LIB,10521
591,ND,2016,James Germalic,IND,4661
592,OH,2016,Rob Portman,GOP,3048467
593,OH,2016,Ted Strickland,DEM,1929873
594,OH,2016,Tom Connors,IND,89977
595,OH,2016,Joseph DeMare,GRN,84521
596,OH,2016,Scott Rupert,IND,74682
597,OK,2016,James Lankford,GOP,979728
598,OK,2016,Mike Workman,DEM,355389
599,OK,2016,Robert Murphy,LIB,43345
600,OK,2016,Sean Braddy,IND,40322
601,OK,2016,Mark Beard,IND,27357
602,OR,2016,Ron Wyden,DEM,1038632
603,OR,2016,Mark Callahan,GOP,616203
604,OR,2016,Shanti Lewallen,WF,56153
605,OR,2016,Steven Reynolds,IP,54915
606,OR,2016,Eric Navickas,PAG,43905
607,OR,2016,Jim Lindsay,LIB,21690
