,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
73,Jeff_Merkley,Jeff,Merkley,D,OR,http://www.ontheissues.org/Senate/Jeff_Merkley.htm,-5,-5,-2,3,-5,-5,-5,-2,3,-5,-3,3,-3,-3,-2,-5,-2,-5,-2,-3,-11,-42
74,Bob_Casey,Bob,Casey,D,PA,http://www.ontheissues.org/Senate/Bob_Casey.htm,3,-5,-2,3,-5,-5,-5,-5,0,2,-5,-2,-5,-3,-2,-2,3,-5,5,-5,1,-41
75,Pat_Toomey,Pat,Toomey,R,PA,http://www.ontheissues.org/Senate/Pat_Toomey.htm,5,-3,5,5,2,5,5,5,3,5,5,5,2,5,5,3,5,5,5,5,46,36
76,Jack_Reed,Jack,Reed,D,RI,http://www.ontheissues.org/Senate/Jack_Reed.htm,-5,-5,-5,-5,-3,-5,-5,-5,-2,-5,-5,-5,-3,-5,3,-2,0,-5,-2,-5,-28,-46
77,Sheldon_Whitehouse,Sheldon,Whitehouse,D,RI,http://www.ontheissues.org/Senate/Sheldon_Whitehouse.htm,-5,-5,-5,0,-5,-5,-5,-5,-2,-5,-5,-5,-3,-5,-2,-5,-2,-5,-5,-5,-36,-48
78,Lindsey_Graham,Lindsey,Graham,R,SC,http://www.ontheissues.org/Senate/Lindsey_Graham.htm,5,2,5,5,2,2,5,3,5,5,5,-2,-3,5,5,-2,5,5,5,2,34,30
79,Tim_Scott,Tim,Scott,R,SC,http://www.ontheissues.org/Senate/Tim_Scott.htm,5,2,5,5,5,5,5,3,0,5,5,5,0,5,5,-2,3,5,3,5,32,42
80,John_Thune,John,Thune,R,SD,http://www.ontheissues.org/Senate/John_Thune.htm,5,5,5,5,2,2,2,3,3,5,5,5,5,5,3,-2,5,5,5,5,37,41
81,Mike_Rounds,Mike,Rounds,D,SD,http://www.ontheissues.org/Senate/Mike_Rounds.htm,5,5,3,0,2,2,0,5,5,5,0,-2,5,0,5,-2,0,2,5,5,24,26
82,Lamar_Alexander,Lamar,Alexander,R,TN,http://www.ontheissues.org/Senate/Lamar_Alexander.htm,3,0,5,5,2,5,5,-2,3,5,5,3,2,2,3,3,3,2,5,2,31,30
83,Bob_Corker,Bob,Corker,R,TN,http://www.ontheissues.org/Senate/Bob_Corker.htm,5,-3,5,3,2,0,2,0,3,5,5,3,0,5,5,-2,5,-3,0,5,27,18
84,John_Cornyn,John,Cornyn,R,TX,http://www.ontheissues.org/Senate/John_Cornyn.htm,5,2,5,5,2,2,5,5,3,5,5,5,5,5,5,3,5,5,5,2,46,38
85,Ted_Cruz,Ted,Cruz,R,TX,http://www.ontheissues.org/Senate/Ted_Cruz.htm,5,2,5,5,5,5,2,5,5,5,5,5,5,5,5,-2,3,5,-2,5,34,44
86,Orrin_Hatch,Orrin,Hatch,R,UT,http://www.ontheissues.org/Senate/Orrin_Hatch.htm,3,5,5,5,2,2,5,3,3,5,5,3,5,5,5,3,5,5,5,5,40,44
87,Mike_Lee,Mike,Lee,R,UT,http://www.ontheissues.org/Senate/Mike_Lee.htm,5,2,5,5,5,2,2,5,-2,5,5,5,5,5,5,-2,5,5,0,5,31,41
88,Patrick_Leahy,Patrick,Leahy,D,VT,http://www.ontheissues.org/Senate/Patrick_Leahy.htm,-2,-5,-5,-5,-5,-5,-5,-5,-2,-3,-5,-5,-3,-5,-2,-2,-5,-5,-5,-5,-38,-46
89,Bernie_Sanders,Bernie,Sanders,I,VT,http://www.ontheissues.org/Senate/Bernie_Sanders.htm,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-5,-2,-5,-5,-5,-5,-5,-5,-5,-3,-47,-46
90,Mark_Warner,Mark,Warner,D,VA,http://www.ontheissues.org/Senate/Mark_Warner.htm,-2,-5,-2,3,-3,2,0,-2,3,5,-3,3,2,2,0,-5,3,-3,5,-3,6,-6
91,Tim_Kaine,Tim,Kaine,D,VA,http://www.ontheissues.org/Senate/Tim_Kaine.htm,-2,-5,-5,0,-3,-5,-3,-2,0,-3,-5,-5,-5,0,5,-2,-2,-3,3,-5,-10,-37
92,Patty_Murray,Patty,Murray,D,WA,http://www.ontheissues.org/Senate/Patty_Murray.htm,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,5,-5,3,-2,-2,-5,-5,-5,-33,-40
93,Maria_Cantwell,Maria,Cantwell,D,WA,http://www.ontheissues.org/Senate/Maria_Cantwell.htm,-5,-5,-5,-5,-3,-5,-5,-5,-2,-5,-5,-5,5,-5,-2,-5,-2,-5,3,-3,-33,-36
94,Joe_Manchin_III,Joe,Manchin,D,WV,http://www.ontheissues.org/Senate/Joe_Manchin_III.htm,3,-5,5,0,-5,-5,-5,-2,-2,5,-5,0,0,5,3,-5,3,5,5,2,10,-8
95,Shelley_Moore_Capito,Shelley,Moore Capito,R,WV,http://www.ontheissues.org/Senate/Shelley_Moore_Capito.htm,3,-3,5,5,0,2,5,3,-2,5,5,3,0,5,3,-2,5,2,5,-3,28,18
96,Ron_Johnson,Ron,Johnson,O,WI,http://www.ontheissues.org/Senate/Ron_Johnson.htm,5,2,5,5,5,5,2,5,-2,5,5,5,2,5,3,-2,3,5,3,5,30,41
97,Tammy_Baldwin,Tammy,Baldwin,D,WI,http://www.ontheissues.org/Senate/Tammy_Baldwin.htm,-5,-5,-5,-5,-5,-3,-5,-5,-5,-5,-5,-5,-3,-5,-2,-2,-5,-5,-5,-5,-44,-46
98,Michael_Enzi,Michael,Enzi,R,WY,http://www.ontheissues.org/Senate/Michael_Enzi.htm,5,5,5,3,2,5,5,3,3,5,5,5,2,5,5,3,5,5,-2,5,35,44
99,John_Barrasso,John,Barrasso,R,WY,http://www.ontheissues.org/Senate/John_Barrasso.htm,5,2,0,5,2,2,2,3,0,5,5,5,2,5,5,-2,5,5,3,5,29,35
